ArtNr;Bezeichnung;Preis;Farbe;Foto;Available;
A001;Armband Stoff Edelstahl;7.20;türkis;images/TestWhatsap.jpg;true;
A002;Armband Barren Edelstahl;7.20;rot;images/TestWhatsap.jpg;true;
A003;Armband Barren Edelstahl;7.20;schwarz;images/TestWhatsap.jpg;false;
A004;Armband Barren 18K;8,50;hellgrau;images/TestWhatsap.jpg;false;
A005;Armband Barren 18K;8,50;rot;images/TestWhatsap.jpg;-;
A006;Armband Barren 18K;8,50;schwarz;images/TestWhatsap.jpg;-;
A007;Armband Barren 18K;8,50;royalblau;images/TestWhatsap.jpg;-;
A008;Armband Münze Edelstahl;7,20;schwarz;images/TestWhatsap.jpg;-;
A009;Armband Münze Edelstahl;7,20;rot;images/TestWhatsap.jpg;-;
A010;Armband Münze Edelstahl;7,20;royalblau;images/TestWhatsap.jpg;-;
A011;Armband Münze Edelstahl;7,20;bordeaux;images/TestWhatsap.jpg;-;
A012;Armband Münze 18K;8,50;schwarz;images/TestWhatsap.jpg;-;
A013;Armband Münze 18K;8,50;orange;images/TestWhatsap.jpg;-;
A014;Armband Münze 18K;8,50;grün;images/TestWhatsap.jpg;-;
A015;Armband Münze 18K;8,50;bordeaux;images/TestWhatsap.jpg;-;
A023;Armband Herz/Dom Edelstahl;7,20;-;images/TestWhatsap.jpg;-;
A024;Armband Herz/Dom 18K;8,50;-;images/TestWhatsap.jpg;-;
A025;Armband mit Schloss Edelstahl;7,20;-;images/TestWhatsap.jpg;-;
A026;Armband mit Schloss 18K;8,50;-;images/TestWhatsap.jpg;-;
A027;Armband Edelstahl Herz/Domspitzen;7,20;-;images/TestWhatsap.jpg;-;
A028;Armband 18K Herz/Domspitzen;8,50;-;images/TestWhatsap.jpg;-;
